job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Graduate Data Analyst,Step5,2024-02-28,409,En remoto,,Junior,"Analítica de datos, Ciencia de datos, Resolución de problemas y Visualización de datos, Analítica, Automatización, Estadística, Matemáticas, Modelado de datos y Programme Recovery",Data Analyst,,,Reino Unido,30000,121
Data Analyst,Harnham,2024-03-11,830,En remoto,,Intermedio,"Python y SQL, Looker (software)",Data Analyst,Londres,Inglaterra,Reino Unido,60000,122
BI Analyst (REMOTE),InterQuest Group,2024-03-06,1088,En remoto,,Intermedio,Microsoft Power BI,Data Analyst,,,Reino Unido,25000,123
Rev-celerator Internship Programme: Data Analyst,Revolut,2024-03-06,510,,,Junior,,Data Analyst,Londres,Inglaterra,Reino Unido,,124
"Data Analyst, UK",Datavant,2024-02-28,1163,En remoto,Jornada completa,Intermedio,"Bases de datos, Capacidad de análisis, Ciencia de datos, Comunicación y Visualización de datos, Anotación, Consultas en bases de datos, Datasets, Establecer prioridades del trabajo y Estadística",Data Analyst,,,Reino Unido,,125
Data Analyst,Jensten,2024-02-13,82,En remoto,Jornada completa,Junior,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación, Comunicación interpersonal, Resolución de problemas y Visualización, Atención al detalle, Modelado de datos y Modelo de datos",Data Analyst,Londres,Inglaterra,Reino Unido,,126
Data Analyst,The Manchester Metropolitan University,2024-02-28,500,Híbrido,,Intermedio,"Analítica de datos, Análisis de datos y Comunicación, Calidad de datos, Datasets, Elaboración de informes de datos, Greenhouse Gas, Habilidad matemática, Habilidades sociales y Requisitos de información",Data Analyst,Mánchester,Inglaterra,Reino Unido,36085,127
Data Analyst II - Cars (12 Months Project),Booking.com,2024-03-06,1099,Híbrido,Jornada completa,,"Análisis web, Automatización de procesos, Conocimientos comerciales, Google Tag Manager, Indicadores clave, Líneas de tiempo, Presentaciones, Pruebas A/B, PySpark y Requisitos de información",Data Analyst,Mánchester,Inglaterra,Reino Unido,,128
Data Analyst,Tech Talent Partners,2024-03-11,613,Híbrido,Jornada completa,Intermedio,"Analítica de datos, Análisis de datos, Ciencia de datos, Comunicación y Resolución de problemas, Ciencias de la computación, Comunicación oral, Datasets, Extraer, transformar y cargar (ETL) y Panel de control",Data Analyst,Londres,Inglaterra,Reino Unido,,129
Business Intelligence Analyst,Brunswick Group,2024-03-06,1163,,,Intermedio,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación y Resolución de problemas, Analítica, Análisis estratégico, Atención al detalle, Focussed y Panel de control",Data Analyst,Londres,Inglaterra,Reino Unido,,130
